track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,1zHR48K6XtWYm6bhrw4J6C,198370,2020-03-27,92,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp,3FAJ6O0NOHQV8Mc5Ri6ENp
1uH1Nd8vet2uoZSDFSDwbh,Up Down (Do This All Day) (feat. B.o.B),3aQeKQSyrW4qWr35idm0cy,T-Pain,3fdI5StLDbsbcNMMyyYh0V,231893,2013-08-13,58,0.763,0.53,5,-5.554,0,0.0577,0.272,0.0,0.16,0.469,97.033,1uH1Nd8vet2uoZSDFSDwbh,1uH1Nd8vet2uoZSDFSDwbh
7yiAJA0gU9DivsxXxRJIk2,007,64WnGi9H0Xc2RCGbjYAFd5,Rot Ken,0ErssytGA5jnxR2BCDy0KP,102400,2021-03-31,55,0.813,0.66,10,-7.338,0,0.245,0.00664,0.0,0.102,0.421,132.13,7yiAJA0gU9DivsxXxRJIk2,7yiAJA0gU9DivsxXxRJIk2
1YLulCkIocAKDTPFths9at,Renai Circulation (English Cover) [TV Size],47SKKz21c5Zd3Fh8u8pMvP,Lizz Robinett,2Yi3RuYexA5BQ3utZAB5zM,91066,2020-08-13,68,0.896,0.555,4,-12.145,1,0.085,0.252,0.0143,0.109,0.772,120.013,1YLulCkIocAKDTPFths9at,1YLulCkIocAKDTPFths9at
1nWoDGzoZS2P72KQqq4Uhz,Goth Girls,4HHpl76SWjPMEneKIvJeg8,Stephany Joanna,7f0X6FObrg3WATh1mTPIRM,204643,2021-05-02,32,0.408,0.323,10,-9.918,1,0.0518,0.398,0.0,0.114,0.0879,160.365,1nWoDGzoZS2P72KQqq4Uhz,1nWoDGzoZS2P72KQqq4Uhz
5OSKhv2UWoy8aqQ2tkaTHd,Shoot-Shoot,6TcTgRYJBQzadIFeXXWA3I,Andrew E.,4LKizltBwXmX5wRsEHEbEY,318960,2004-12-01,53,0.949,0.613,10,-9.185,1,0.0389,0.0721,0.0,0.0706,0.965,119.01,5OSKhv2UWoy8aqQ2tkaTHd,5OSKhv2UWoy8aqQ2tkaTHd
6iiNn7SnO0tv2q1WCfkS21,Ay Rico Rico Rico - Tik Tok Mix,0RbCj3vtgrCSUPhLVtPkFk,Dj πrata,2XOV0XfsUunAAXcztIUZEk,72055,2021-02-11,52,0.654,0.867,2,-4.814,1,0.15,0.167,0.00467,0.064,0.861,115.508,6iiNn7SnO0tv2q1WCfkS21,6iiNn7SnO0tv2q1WCfkS21
0qfg4TaHFru8ybkMmTzfxb,SUPERSTAR,46fHMu9KxdQwcGV9xI1L9R,Dro Kenji,2WgVVvtFfU98hE5l9hSKGa,102857,2021-04-02,61,0.784,0.53,9,-6.479,0,0.0507,0.00243,0.0,0.154,0.491,111.899,0qfg4TaHFru8ybkMmTzfxb,0qfg4TaHFru8ybkMmTzfxb
5DdSN5U634K0bREQEbz6VI,Dati,2P3aLwJ41aRYkyFFw2FRM7,Sam Concepcion,4WBmtqpXR1uws9d2Sg6UrZ,240600,2013,53,0.601,0.644,8,-5.741,1,0.114,0.239,0.0,0.124,0.758,183.905,5DdSN5U634K0bREQEbz6VI,5DdSN5U634K0bREQEbz6VI
3ZoHHYydoQNWIKdP59knYA,Pajama Party,1HkpK55jsORzgtOURbOeQH,1096 Gang,6bTUbqEPiSNLbOLTSmKGDP,323476,2021-01-09,39,0.752,0.607,11,-9.236,1,0.123,0.091,0.0,0.25,0.765,88.021,3ZoHHYydoQNWIKdP59knYA,3ZoHHYydoQNWIKdP59knYA
