track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7aXuop4Qambx5Oi3ynsKQr,I Don't Mind (feat. Juicy J),23zg3TcAtWQy7J6upgbUnj,Usher,5BAqg5IJQ7XFKfdoCiOlJw,251989,2014-11-21,69,0.87,0.464,4,-8.337,1,0.178,0.205,0.0,0.0902,0.457,112.974,7aXuop4Qambx5Oi3ynsKQr,7aXuop4Qambx5Oi3ynsKQr
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),0jnsk9HBra6NMjO2oANoPY,Flo Rida,5j1wrOAOm5KFd17pPiSvle,231400,2008-03-17,80,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,0CAfXk7DXMnon4gLudAp7J,0CAfXk7DXMnon4gLudAp7J
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1OnzqJTL9bwe4kvaLxRYxt,208866,2021-04-09,98,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,748mdHapucXQri7IAO8yFK,748mdHapucXQri7IAO8yFK
5mVeslUjgyVDBUB0bPJr6R,Close up,0vXtpskNA5slWYQBsjlaJU,Prophet the Artist,5SLYMh4USMIYd0wn86F35z,147382,2020-11-11,50,0.739,0.685,0,-10.203,0,0.318,0.353,9.41e-05,0.144,0.598,127.988,5mVeslUjgyVDBUB0bPJr6R,5mVeslUjgyVDBUB0bPJr6R
27UcQ6dAvQrgH9C880rCM3,Love You Different (feat. BEAM),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5dGWwsZ9iB2Xc3UKR0gif2,186695,2021-03-19,72,0.759,0.584,8,-6.655,1,0.06,0.0652,1.59e-06,0.16,0.374,127.138,27UcQ6dAvQrgH9C880rCM3,27UcQ6dAvQrgH9C880rCM3
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,1zHR48K6XtWYm6bhrw4J6C,198370,2020-03-27,92,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp,3FAJ6O0NOHQV8Mc5Ri6ENp
6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,215506,2021-05-21,88,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,6HU7h9RYOaPRFeh0R3UeAr,6HU7h9RYOaPRFeh0R3UeAr
5hTpBe8h35rJ67eAWHQsJx,Caroline,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,3lajefIuUk4SfzqVBSJy8p,209640,2017-07-28,78,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04,5hTpBe8h35rJ67eAWHQsJx,5hTpBe8h35rJ67eAWHQsJx
3jagJCUbdqhDSPuxP8cAqF,Work It,2wIVse2owClT7go1WT98tk,Missy Elliott,6DeU398qrJ1bLuryetSmup,263226,2002-11-11,71,0.884,0.677,1,-5.603,1,0.283,0.0778,0.0,0.0732,0.584,101.868,3jagJCUbdqhDSPuxP8cAqF,3jagJCUbdqhDSPuxP8cAqF
5B0kei3VVWCH7752PfDQsQ,Rich Boy Trap,69LoD9SvwYptcAMxekwuqi,Daz Payne,6ZZT161KadMuAZete0Mlvl,166956,2021-03-26,42,0.776,0.584,1,-10.606,1,0.0873,0.142,6.66e-05,0.103,0.295,138.031,5B0kei3VVWCH7752PfDQsQ,5B0kei3VVWCH7752PfDQsQ
3dFwpxh2yH7C7p9BGEKLVB,Goodies (feat. Petey Pablo),2NdeV5rLm47xAvogXrYhJX,Ciara,71gUhKYZIWmmjqAHlY4Br3,223000,2004-09-27,68,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,3dFwpxh2yH7C7p9BGEKLVB,3dFwpxh2yH7C7p9BGEKLVB
7MC4XR9M9amdmKQr2iDF7i,Iko Iko (My Bestie),5lTjv8Ag00qHSGhvK4JbeF,Justin Wellington,0IVeq4oFSUAAXmdQqXFTrU,182857,2019-06-03,81,0.862,0.753,5,-5.356,1,0.0625,0.131,2.01e-06,0.077,0.827,105.039,7MC4XR9M9amdmKQr2iDF7i,7MC4XR9M9amdmKQr2iDF7i
1Bhm5HNO1cq8olDbBmokyL,Copines,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,3jqQFIXUakuDXdhFVvI7Ko,171720,2018-11-02,80,0.701,0.787,8,-3.941,0,0.0855,0.27,0.0,0.105,0.904,180.027,1Bhm5HNO1cq8olDbBmokyL,1Bhm5HNO1cq8olDbBmokyL
7xYnUQigPoIDAMPVK79NEq,Run It! (feat. Juelz Santana),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,49gaz5rhWWgqCw61M9700v,229866,2005,72,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,7xYnUQigPoIDAMPVK79NEq,7xYnUQigPoIDAMPVK79NEq
5f7F8ovtEmFzOdyN5fTOKl,San Andreas Theme Song,58zzaIQ8XVObJml8da0b2e,Young Maylay,5eH1GJwSmZXI4Xebe1A9X3,86546,2005-11-07,65,0.52,0.836,5,-7.13,0,0.213,0.0164,0.0,0.19,0.486,96.855,5f7F8ovtEmFzOdyN5fTOKl,5f7F8ovtEmFzOdyN5fTOKl
3EjqEynisw490QVoUDSl8p,OUT out,22UgSS755ESXV2NfD1BkN5,AP3,2ekLh7WcfH4nigov3cDF44,214163,2021-03-26,41,0.842,0.719,4,-8.075,0,0.107,0.16,4.02e-06,0.122,0.8,130.007,3EjqEynisw490QVoUDSl8p,3EjqEynisw490QVoUDSl8p
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3euz4vS7ezKGnNSwgyvKcd,167989,2020-10-30,82,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,5GkQIP5mWPi4KZLLXeuFTT,5GkQIP5mWPi4KZLLXeuFTT
7lozLnUfzcgEpMMVQI7yhA,Why,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,5EEkfRgfYHiFu0lGur6Z6M,148259,2018-04-12,72,0.676,0.67,8,-6.584,1,0.0374,0.353,0.0,0.103,0.54,113.01,7lozLnUfzcgEpMMVQI7yhA,7lozLnUfzcgEpMMVQI7yhA
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),053fl1QPQFGqSPPxSPcacT,Loui,2HOYNp9NxRakR9u9na7Wth,126225,2021-04-16,71,0.885,0.466,1,-6.128,1,0.282,0.0396,0.0,0.127,0.272,75.014,66vs64VphiHrtFcLR6Qeav,66vs64VphiHrtFcLR6Qeav
