track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7LWqYdNfeU15I3pWGoWAWL,CARTIER,3dQMGfODIABnUy8kNFXBim,Reggie Mills,1xBt8Psskj2q0hi4FVk1Oc,179133,2021-04-09,56,0.73,0.807,8,-3.303,1,0.0763,0.112,0.0,0.123,0.281,125.014,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,26cMerAxjx9GedFt0lMDjm,Bella Poarch,5YKqfiQdPYWJ0kZ5pttY5o,122772,2021-05-14,91,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1nhtP8put1KkwqdrZcA1Gi,Gucci Knife (feat. MASN),3mPc8WGusz2XF3Tvs3AKCR,Carlie Hanson,0MJRKW8pwyQH16WQlMXiH7,151642,2021-05-21,58,0.68,0.623,11,-6.657,0,0.0464,0.055,0.0,0.596,0.379,145.002,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4gtmLfdvLaKO1PY4cvdfaI,Feel Your Love,6kT18gnkVrCz8xJQcrib7L,Bhaskar,6lkHjfaElhaWfYGZEmFkWG,182950,2021-05-14,68,0.668,0.807,4,-5.291,0,0.0339,0.00926,0.0136,0.109,0.227,122.041,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,7arQA31aZVS8yS6zUveWzb,CJ,5oBYG6dEI2Er6EeLnmonGE,123262,2020-08-20,85,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7eRaK8LJUUgStuF29HpNsQ,Gone,2YqJwmohaNjg9lg51flSax,Chiiild,4tvYoJP6LcXBpHglrrH1BP,171693,2021-04-28,57,0.775,0.438,7,-8.479,1,0.0598,0.654,0.0796,0.131,0.637,142.027,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7zju6S29L5GdcMQNFo7rxH,Touch Down 2 Cause Hell,1IRUBjX6bQWnwupD48ZRgc,Hd4president,2zyP1qrnwy6b4MA9xtLlZL,164754,2021-04-22,52,0.849,0.818,1,-4.264,1,0.275,0.00126,0.0,0.0921,0.662,168.977,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7H65Mixw2ziO0Zikh6Fe6I,Love Taker,1mJucMwGjnCatEdVk9eedj,Alex Alexander,5hkswTpfCDqWq7rkXjp6B6,174573,2021-05-14,52,0.58,0.851,9,-6.112,0,0.0467,0.000423,0.0262,0.293,0.766,169.905,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
6evS8DqfQjZp5CedLG8qTA,Keep Dancing,6JzWgxi0nFzcHq7cqpGbiz,Marcus Layton,16UH7szvlsT8exX9dCIINL,171029,2021-05-28,50,0.746,0.809,2,-5.49,0,0.112,0.137,1.54e-05,0.122,0.571,119.987,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
6rIXdBC74sTiA3XknfwL9V,Holdin Me Down,41I5xI04kixwmonDBl0Sda,King Combs,1J9L7EU6JatlCjQ0rDcA9Q,251838,2021-03-26,59,0.671,0.622,9,-5.709,0,0.348,0.236,1.29e-06,0.0928,0.417,155.599,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7HYg1YBkwyc3I10NV3UQp2,Back to You,4n7LqAJhu3k6rrKMu3VfDa,Matvey Emerson,2TAd36hOtVksOSwFPFh0Rd,152500,2021-06-04,0,0.77,0.719,6,-6.248,0,0.0507,0.0154,0.00601,0.103,0.746,120.005,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,7i9j813KFoSBMldGqlh2Z1,Riton,39qsmsNRXjVaFqTZj9af0j,169153,2021-01-15,94,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7J4zszAZxAyowZp7gNUIUI,Bongo Cha Cha Cha,2nm38smINjms1LtczR0Cei,Goodboys,0goSLvh4vqvDLQHmee3Bk1,113127,2021-05-21,62,0.817,0.974,5,-5.703,0,0.0473,0.00664,0.255,0.0651,0.973,126.006,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),03T8GHHcCEtcfnjbP5aHLg,YungManny,7nYMFoZJEsTdliAf5MUQvJ,125579,2021-03-20,71,0.903,0.785,1,-4.709,1,0.322,0.0245,0.0,0.0652,0.823,129.835,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
6VCi7GBiRgDMmDnzh8ytWu,Peaches,12Jp4jInGELGsN5jydIbx5,Dame Dame,7x5TMerI7qczseUKXT2Bu1,139937,2021-06-04,0,0.499,0.667,0,-8.457,1,0.147,0.234,0.0,0.25,0.735,183.737,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
0o7p0yZL6fJ4EbciC8yP0X,Memories,3UV0wVQkft6lKLDGioqnyO,Coopex,3bBpuCxM7ZXuEcyJqoNxbe,138452,2021-05-28,48,0.745,0.862,8,-4.18,1,0.116,0.335,0.000623,0.102,0.738,123.979,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
3PuyJmPuaCP8d5iN5FlWEF,Magic,47Y9hBWUVAsgTELeIv5ROJ,Rolling Stone P,2fYlhSK75C1C5ru3Va3lxo,152056,2021-05-21,50,0.902,0.612,10,-8.517,0,0.119,0.152,1.2e-05,0.107,0.581,98.023,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1JGi2oEvxUQLHxyWYanhd9,Dear Anna,7qDpBmvybNw8KtjRW36OkX,Kyle The Hooligan,30zNk6rZ4Iyo6mb8OC9edP,147147,2021-05-14,45,0.707,0.57,5,-8.276,1,0.0446,0.0498,0.0,0.102,0.288,170.033,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),6fWVd57NKTalqvmjRd2t8Z,24kGoldn,4YMnOf4a7obOcN1Gy2QEuM,140525,2020-07-24,73,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
649uvcXpUZG504aZF19ilf,White Flag,2tndYCXQneCV4jtoWRwVpz,Lucas Estrada,4zxa9Gu0z5rIIfbsGb3wfs,198974,2021-04-09,69,0.744,0.784,6,-5.761,0,0.0306,0.0468,0.218,0.104,0.463,116.996,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7cdy4PbCdDZZNjyxoZyE0c,Vacation,6GkJh85o22LfD2vgL9DP6f,Dirty Heads,7xR5BJoQg0x0bHac8GMipk,209142,2017-06-30,76,0.739,0.754,8,-5.034,1,0.035,0.0431,0.0,0.0999,0.793,150.017,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
0HR9gzUvpJ6Wv0lSOD2gGB,Fever,656ibQgcoUQrUPdhQWRcI3,SOMMA,3XHKaWhKDVYnRqK46YCJHj,162934,2021-03-19,70,0.465,0.756,10,-6.992,0,0.0797,0.0784,2.32e-06,0.0669,0.291,120.247,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,04m06KhJUuwe1Q487puIud,203064,2020-10-01,92,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7lPN2DXiMsVn7XUKtOW1CS,drivers license,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,66FPnVL9G4CMKy3wvaGTcr,242013,2021-01-08,94,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4KlPTtONyk5QAOATNpEtiy,Love Again,0K3HwnyYaxoQO9hZCBLtOH,LANNÉ,6m6tjs4h0A4TIFiWuW7rwM,160324,2021-05-28,49,0.706,0.742,0,-6.577,1,0.139,0.0241,2.61e-06,0.104,0.178,124.99,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
02kDW379Yfd5PzW5A6vuGt,Lemonade,6MPCFvOQv5cIGfw3jODMF0,Internet Money,1pFaEu56zqpzSviJc3htZN,195428,2020-08-14,84,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
0hd7lwQfA4BwyOwixQonPh,Write This Down (Instrumental),7rdiGVXL2fFyONexHzfKFS,SoulChef,0mGJ6pRjwAMtDJfVm7uTU2,188420,2016-03-23,65,0.826,0.738,10,-4.658,0,0.0444,0.00355,0.939,0.0633,0.781,93.005,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
0lawONuqOQg2IR2qSj9ZOe,Daisy,12Jp4jInGELGsN5jydIbx5,Dame Dame,6c0KaNyUiy9HMsqENyJRHl,127696,2021-05-07,56,0.802,0.898,8,-4.228,0,0.153,0.00658,0.0142,0.0998,0.607,125.068,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
