track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0iXmvPiarrKooyaO3E7czl,Araw Araw Love Flow G,3PDFGpPl4ienSn5Vwisfrh,Flow G,0LwljARL4prnHUaDkzFwfn,130607,2020-02-28,47,0.727,0.548,9,-10.1,1,0.305,0.831,0.0,0.173,0.792,168.131,0iXmvPiarrKooyaO3E7czl,0iXmvPiarrKooyaO3E7czl
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,0iqkVK6sTXi7DZWWOeKy8Q,PDL,79UXZq6nXVVBpZgWWxb9Gq,214606,2018-09-26,64,0.595,0.57,5,-6.232,0,0.12,0.104,0.0,0.0899,0.721,84.929,34ob61cxp34Sf7KHK6RnSU,34ob61cxp34Sf7KHK6RnSU
7pzMsgcRpO7Z1tRex3yWvO,The Zebbiaanaa,3PDFGpPl4ienSn5Vwisfrh,Flow G,0U1xf9hK45AHKLWPPSV6MT,200156,2019-12-13,49,0.521,0.349,1,-10.384,1,0.274,0.898,0.0,0.103,0.456,84.561,7pzMsgcRpO7Z1tRex3yWvO,7pzMsgcRpO7Z1tRex3yWvO
3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,3r0NbTTxtCBUyxcIR4prXr,Jr Crown,4B3cUBkyz5jDoFzL1Lo7N2,254139,2020-03-11,63,0.87,0.597,1,-8.339,1,0.0613,0.18,0.0,0.0902,0.56,103.019,3R6Hl2e7hAyCfofRRToKAo,3R6Hl2e7hAyCfofRRToKAo
3YQp6N0vdiLEhpqKjRcN2L,Hayaan Mo Sila (Inspired by I'm the One),2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,1f7QMJxxEORZAArm9IZS8X,364076,2017-08-19,0,0.724,0.684,5,-4.919,1,0.0569,0.718,0.0,0.0925,0.765,80.004,3YQp6N0vdiLEhpqKjRcN2L,3YQp6N0vdiLEhpqKjRcN2L
5sLGYJOhLP197nmkaRMMEH,Ngayong Gabi,2G7VQ1kVhVfNagytlousgm,Al James,51UmoT2xdda5pAZcRFMiot,267456,2017-08-14,57,0.865,0.628,2,-7.614,0,0.143,0.594,0.0,0.2,0.433,116.009,5sLGYJOhLP197nmkaRMMEH,5sLGYJOhLP197nmkaRMMEH
2aoiMd5FGyG5NfVDdiwjuM,Akala Ko Nung Una (feat. Future Thug),00xU4wfephkJrjwJPDvfkf,O.C. Dawgs,12M1BApkNERrP03UxO4naK,301388,2016-12-16,54,0.632,0.681,9,-3.68,1,0.0523,0.225,0.0,0.109,0.368,134.915,2aoiMd5FGyG5NfVDdiwjuM,2aoiMd5FGyG5NfVDdiwjuM
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,7xconhHQKj7Be4P2KvUmFz,285138,2017-04-29,65,0.518,0.762,7,-3.907,1,0.0305,0.0851,0.0,0.148,0.271,155.985,00mBzIWv5gHOYxwuEJXjOG,00mBzIWv5gHOYxwuEJXjOG
21gD3c0BUpor0wkpagps6R,Bumalik Ka Na Sa'kin,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,216386,2013-06-11,54,0.63,0.585,2,-8.581,1,0.04,0.00393,0.0,0.0749,0.794,123.99,21gD3c0BUpor0wkpagps6R,21gD3c0BUpor0wkpagps6R
58grXgbCj7t5ulr0TGLIr9,Kahit Ayaw Mo Na,5HIZU0JzM0AgfItVOm4E08,This Band,2sGiNJNhNMJbn56l0BE0R0,243015,2018-11-02,63,0.662,0.529,2,-8.539,1,0.0351,0.341,0.000208,0.105,0.424,127.584,58grXgbCj7t5ulr0TGLIr9,58grXgbCj7t5ulr0TGLIr9
